FullName,Price,Volume,Type,Country
Volnay Fremiets Premier Cru Domaine Henri Boillot,1046,750,Rött vin,Frankrike
Puligny Montrachet Premier Cru Clos de la Mouchere Domaine Henri Boillot,1209,750,Vitt vin,Frankrike
Corton-Charlemagne Grand Cru Henri Boillot,1979,750,Vitt vin,Frankrike
Meursault Henri Boillot,639,750,Vitt vin,Frankrike
Langhe Nebbiolo Produttori del Barbaresco,155,750,Rött vin,Italien
Altos Las Hormigas Malbec Reserva,229,750,Rött vin,Argentina
De Loach Pinot Noir O.F.S,319,750,Rött vin,USA
Bolla Prosecco Extra Dry,99,750,Mousserande vin,Italien
Strandlida Bryggeri Ljus Ale,34.9,500,Öl,Sverige
Chateaneuf-du-Pape Cuvée du Vatican,241,750,Rött vin,Frankrike
Meteor Export,20,330,Öl,Frankrike
Paulita Cabernet Sauvignon,55,375,Rött vin,Chile
Paulita Sauvignon Blanc,55,375,Vitt vin,Chile
Freakshow Cabernet Sauvignon,189,750,Rött vin,USA
Barolo Revello Fratelli,399,750,Rött vin,Italien
Prima,169,750,Rött vin,Spanien
Jermann Pinot Bianco,259,750,Vitt vin,Italien
Jermann Sauvignon,269,750,Vitt vin,Italien
Mauro,379,750,Rött vin,Spanien
Doix Costers de Vinyes Velles,999,750,Rött vin,Spanien
Les Crestes,239,750,Rött vin,Spanien
Pugnitello da San Felice,369,750,Rött vin,Italien
Château de Fesles Chenin Sec La Chapelle,149,750,Vitt vin,Frankrike
San Román,360,750,Rött vin,Spanien
Moric Blaufränkisch,229,750,Rött vin,Österrike
Cave Spring Pinot Noir,219,750,Rött vin,Kanada
Barbera d'Alba Revello Fratelli,182,750,Rött vin,Italien
Salanques,459,750,Rött vin,Spanien
Langhe Nebbiolo Malvirà,219,750,Rött vin,Italien
Malvirà Roero Arneis,172,750,Vitt vin,Italien
Cuvée des Jacobins Brouwerij Bockor,32.9,330,Öl,Belgien
Glenglassaugh Torfa,549,700,Whisky,Storbritannien
Salentein Barrel Selection Malbec,149,750,Rött vin,Argentina
John Medley's Aged 6 Years,269,700,Whisky,USA
Vicente Gandia Nature Tempranillo,89,750,Rött vin,Spanien
Farina Valpolicella Classico Superiore,119,750,Rött vin,Italien
Ben Nevis TKS No6,772,700,Whisky,Storbritannien
Paul John Classic Select Cask,850,700,Whisky,Indien
Philippe De Nantheuil Brut,189,750,Mousserande vin,Frankrike
Tomatin Single Highland Malt,1199,700,Whisky,Storbritannien
Chamonix Rouge,99,750,Rött vin,Sydafrika
Topf Strassertal Grüner Veltliner,119,750,Vitt vin,Österrike
Topf Wechselberg Riesling,169,750,Vitt vin,Österrike
Topf Strassertal Zweigelt,129,750,Rött vin,Österrike
Rogue Double Chocolate Stout,129.9,750,Öl,USA
Rogue Fresh Roast,29.9,355,Öl,USA
Blood of Jupiter,259,750,Rött vin,Australien
Mikkeller Nelson Sauvin Orange Passionfruit,169,750,Öl,Belgien
Hill of Grace,4995,750,Rött vin,Australien
Golden Mullet Fury,189,750,Vitt vin,Australien
Las Iruelas Daniel Gómez Jiménez-Landi,569,750,Rött vin,Spanien
Campolargo Cercial,299,750,Vitt vin,Portugal
Karasì Areni Noir,249,750,Rött vin,Armenien
Hermann J. Wiemer Dry Riesling,159,750,Vitt vin,USA
Other People's Pinot Mouton Noir Wines,99,375,Rött vin,USA
Piot-Sévillano Prestige Brut,389,750,Mousserande vin,Frankrike
Champagne Piot-Sévillano Rebelle Brut,379,750,Mousserande vin,Frankrike
Piot-Sévillano Impertinente Brut,379,750,Mousserande vin,Frankrike
Champagne Piot-Sévillano Provocante Brut,379,750,Mousserande vin,Frankrike
Piot-Sévillano Brut Nature,379,750,Mousserande vin,Frankrike
Jean-Claude Boisset Les Moutots,159,750,Vitt vin,Frankrike
Jean-Claude Boisset Saint Aubin 1er Cru En Remilly,399,750,Vitt vin,Frankrike
Jean-Claude Boisset Marsannay,249,750,Vitt vin,Frankrike
Barbera d'Asti Bricco Garitta,112,750,Rött vin,Italien
De Loach Zinfandel Heritage Collection,129,750,Rött vin,USA
Quinta do Vallado Reserva Field Blend,348,750,Rött vin,Portugal
Terzavia Nature Metodo Classico Brut,349,750,Mousserande vin,Italien
Bret Brothers Fleurie Les Grands Prés,336,750,Rött vin,Frankrike
La Soufrandiere Pouilly-Vinzelles Climat Les Quarts,698,750,Vitt vin,Frankrike
Marco de Bartoli Sole e Vento,249,750,Vitt vin,Italien
Marco de Bartoli Rosso di Marco,239,750,Rött vin,Italien
Acrobat Pinot Gris,129,750,Vitt vin,USA
Organic Anarchy,369,750,Vitt vin,Slovenien
Királyudvar Tokaji Furmint Sec,259,750,Vitt vin,Ungern
Dal Forno Romano Amarone della Valpolicella,2299,750,Rött vin,Italien
Dal Forno Romano Valplicella DOP Superiore,649,750,Rött vin,Italien
Vino di Melnik,189,750,Rött vin,Bulgarien
Luis Alegre Parcela No 5,159,750,Rött vin,Spanien
Amazin' Zinfandel,89,750,Rött vin,USA
Opi Mascota Cabernet Sauvignon,92,750,Rött vin,Argentina
Brygghus 19 Respons,23.9,330,Öl,Sverige
LAB Reserva,79,750,Rött vin,Portugal
Miami Vice Pale Ale,29.4,330,Öl,Danmark
23/07 1940 Rioja Crianza,152,750,Rött vin,Spanien
Rustenberg Chardonnay,139,750,Vitt vin,Sydafrika
Corralillo Syrah,109,750,Rött vin,Chile
Domaine Gentile Patrimonio,209,750,Rött vin,Frankrike
Domaine Sauveroy St Lambert Vieilles Vignes,198,750,Vitt vin,Frankrike
Raggar ÖL,11.5,330,Öl,Sverige
Château Bonnet Blanc Reserve,119,750,Vitt vin,Frankrike
Dolcetto d'Alba Aurelio Settimo,162,750,Rött vin,Italien
Les 3 Chevaliers,115,750,Rött vin,Frankrike
Arthur Metz Crémant d'Alsace Brut Prestige,119,750,Mousserande vin,Frankrike
Vernaccia di San Gimignano Riserva,177,750,Vitt vin,Italien
Falling Feather Ruby Cabernet,89,750,Rött vin,USA
Riviera Ligure di Ponente Pigato,162,750,Vitt vin,Italien
Riviera Ligure di Ponente Vermentino,162,750,Vitt vin,Italien
Braes of Glenlivet Finest Collection Cask Strength 19 Years,1343,700,Whisky,Storbritannien
Riviera Ligure di Ponente Rossese,162,750,Rött vin,Italien
Solis Mattheu Cosse,152,750,Rött vin,Frankrike
Heartwood Organic Wine Zinfandel,89,750,Rött vin,Italien
The Velvet Devil Merlot,129,750,Rött vin,USA
André Moussy Blanc de Blancs,295,750,Mousserande vin,Frankrike
Jean Biecher Pinot Gris,99,750,Vitt vin,Frankrike
Vinistella La Passione,79,750,Rött vin,Italien
Dangin Reserve Mature,395,750,Mousserande vin,Frankrike
Dangin Cuvée Saint-Cyr Brut,425,750,Mousserande vin,Frankrike
Domaine de Mayrac Enigma,450,750,Rött vin,Frankrike
Colomba Bière Blanche de Corse,28.8,330,Öl,Frankrike
Guld Bock,24.8,330,Öl,Tyskland
Glen Elgin Finest Collection Cask Strength 22 Years,1383,700,Whisky,Storbritannien
Teeling Single Grain Wine Cask,449,700,Whisky,Irland
Quinta da Cheira Alvarinho,138,750,Vitt vin,Portugal
Grant's Nordic Oak Finish,319,700,Whisky,Storbritannien
Forster Riesling QbA Trocken Reichsrat von Buhl,159,750,Vitt vin,Tyskland
Macià Batle Crianza,119,750,Rött vin,Spanien
Farmstead Chardonnay,199,750,Vitt vin,USA
Fuchs & Haase PetNat Vol 2,169,750,Mousserande vin,Österrike
Jakot,249,500,Vitt vin,Italien
Oppigårds Weissbier,18.9,330,Öl,Sverige
Las Notas de Jean Claude,599,750,Rött vin,Argentina
Masseto Ornellaia,3749,750,Rött vin,Italien
Gramercy Cellars Syrah,299,750,Rött vin,USA
Shafer Relentless,795,750,Rött vin,USA
Kreinbacher Juhfark,129,750,Vitt vin,Ungern
Shafer TD-9,550,750,Rött vin,USA
Radikon Slatnik,259,750,Vitt vin,Italien
Barolo Via Nuova,599,750,Rött vin,Italien
Bret Brothers Pouilly-Loché Climat La Cologne,495,750,Vitt vin,Frankrike
Bret Brothers Mâcon-Chardonnay Climat Les Crays,439,750,Vitt vin,Frankrike
Petit Bernat Blanc,135,750,Vitt vin,Spanien
Seasons Meritage Reserve,158,750,Rött vin,Kanada
Adelsheim Breaking Ground Pinot Noir,349,750,Rött vin,USA
Château Pégau Maclura,126,750,Rött vin,Frankrike
Seghesio Old Vine Zinfandel,295,750,Rött vin,USA
Lamborn Family Vineyards The Smile Vintage Zinfandel,499,750,Rött vin,USA
Klabjan Refosk,149,750,Rött vin,Slovenien
Filipa Pato Território Vivo,259,750,Rött vin,Portugal
Autocarro No27,139,750,Rött vin,Portugal
Romantic Brut,270,750,Mousserande vin,Italien
Clos d'Agon Amic Blanc,171,750,Vitt vin,Spanien
Clos d'Agon Amic Tinto,184,750,Rött vin,Spanien
Saint-Romain Sous Roche Domaine Henri & Gilles Buisson,261,750,Rött vin,Frankrike
Bourgogne Domaine Henri & Gilles Buisson,225,750,Rött vin,Frankrike
Meursault Les Climats de Marguerit,438,750,Vitt vin,Frankrike
Highland Park Ice Edition 17 Years,1999,700,Whisky,Storbritannien
Lakeview Sauvignon Blanc,169,750,Vitt vin,Kanada
Fresh Beginnings Muscato,144,750,Vitt vin,Kanada
20 Bees Baco Noir,131,750,Rött vin,Kanada
Chianti Classico Nozzole La Forra,249,750,Rött vin,Italien
Cabreo La Pietra,299,750,Vitt vin,Italien
Bourgogne Blanc Château Fuissé,185,750,Vitt vin,Frankrike
Château Rollan de By,259,750,Rött vin,Frankrike
Cava Blanc de Noirs 1+1=3 U Mes U Fan Tres,119,750,Mousserande vin,Spanien
Nymph Saison,39,330,Öl,Sverige
Saint-Véran Domaine de la Croix Senaillet,149,750,Vitt vin,Frankrike
Steinschaden Grüner Veltliner,79,750,Vitt vin,Österrike
Barlingbo Bånsen Brown Ale,23.9,330,Öl,Sverige
Leufsta APA,22.8,330,Öl,Sverige
Ben Nevis 43 Years,3514,700,Whisky,Storbritannien
Flamingo-go IPA,29.9,330,Öl,Sverige
Hökarängen IPA,39.5,330,Öl,Sverige
Sälen Pale Ale,24.9,330,Öl,Sverige
Fjäll R.I.P.A,29.8,330,Öl,Sverige
Sancerre Langlois-Chateau,169,750,Vitt vin,Frankrike
Sumpan Ale,26,330,Öl,Sverige
Barlingbo Galgbacken,23.9,330,Öl,Sverige
Halvlager,26,330,Öl,Sverige
Fragments Tempranillo,159,750,Rött vin,Spanien
Anne Marie Nature Reserve Brut,159,750,Mousserande vin,Spanien
Don Jacobo Gran Reserva,239,750,Rött vin,Spanien
Château Tempérance,164,750,Rött vin,Frankrike
Barlingbo Gumsen,28.9,330,Öl,Sverige
Brygghus 19 Passion IPA,26.9,330,Öl,Sverige
Anthos,1045,750,Rött vin,Spanien
Ålö Ale,30.2,500,Öl,Sverige
Barco Reale di Carmignano,165,750,Rött vin,Italien
Gevrey-Chambertin La Justice Domaine René Bouvier,449,750,Rött vin,Frankrike
Château Arricau-Bordes,212,750,Rött vin,Frankrike
Monna Nera Toscana,139,750,Rött vin,Italien
Äppelbo Amarillo IPA,24.9,330,Öl,Sverige
Saison Passionsfrukt,29,330,Öl,Sverige
W2 Riesling Pinot Gris,130,750,Vitt vin,Frankrike
Dom d'Oustric Cuvée Léo,111,750,Rött vin,Frankrike
Morberg Collection Chardonnay,49,750,Vitt vin,Frankrike
Brunello di Montalcino La Fuga,299,750,Rött vin,Italien
Golden Spiral Ice Weinkellerei Hechtsheim,79,375,Vitt vin,Tyskland
Schug Brut Rouge de Noirs,655,750,Mousserande vin,USA
Fleurie Chateau du Chatelard,479,750,Rött vin,Frankrike
Chateau Lamothe Blanc Bordeaux,141,750,Vitt vin,Frankrike
Chateau Lamothe Rouge Bordeaux,151,750,Rött vin,Frankrike
Rickety Bridge Chardonnay,156,750,Vitt vin,Sydafrika
Rendola Governo,109,750,Rött vin,Italien
Château Ksara Blanc de Blancs,129,750,Vitt vin,Libanon
Château Ksara Reserve du Couvent,119,750,Rött vin,Libanon
Château Ksara Cabernet Sauvignon,179,750,Rött vin,Libanon
Château Ksara Chateau,179,750,Rött vin,Libanon
JP Chenet Medium Sweet,79,750,Vitt vin,Frankrike
Berlucchi '61 Rosé,199,750,Mousserande vin,Italien
Musella Ripasso Superiore,149,750,Rött vin,Italien
Bertani Valpolicella Ripasso,165,750,Rött vin,Italien
Trimbach Gewurztraminer Cuvée des Seigneurs de Ribeaupierre,309,750,Vitt vin,Frankrike
Senteurs des Vignes Albert Mann,170,750,Vitt vin,Frankrike
Chateau Manos,183,750,Vitt vin,Frankrike
D'Alamel Chardonnay,101,750,Vitt vin,Chile
D'Alamel Merlot,101,750,Rött vin,Chile
Bruichladdich Scottish Barley The Classic Laddie,560,700,Whisky,Storbritannien
Maculan Brentino,195,750,Rött vin,Italien
Maculan Vespaiolo,167,750,Vitt vin,Italien
Château Tassin Bordeaux Supérieur,142,750,Rött vin,Frankrike
Château Argadens,139,750,Vitt vin,Frankrike
Bruichladdich Port Charlotte Scottish Islay,610,700,Whisky,Storbritannien
Dolle Riesling Strassertal,144,750,Vitt vin,Österrike
Dolle Grüner Veltliner Strassertal,139,750,Vitt vin,Österrike
San Raffaele Pinot Grigio,135,750,Vitt vin,Italien
Eve Chardonnay,129,750,Vitt vin,USA
Sierra Nevada Kellerweis,29.1,355,Öl,USA
Founders All Day India Pale Ale,20.9,355,Öl,USA
Stallhagen Honungsöl,31.1,330,Öl,Finland
St Stefanus Blonde Ale,26.8,330,Öl,Belgien
Desperados Tequila Flavoured Beer,18.9,330,Öl,Nederländerna
Berliner Pilsner,35.7,500,Öl,Tyskland
Jacques Picard Brut Reserve,321,750,Mousserande vin,Frankrike
Jacques Picard Prestige Brut,388,750,Mousserande vin,Frankrike
Fritz Haag Riesling,159,750,Vitt vin,Tyskland
Dolcetto dÁlba Broccardo,183,750,Rött vin,Italien
Barbera d'Alba Broccardo,184,750,Rött vin,Italien
Langhe Nebbiolo Broccardo,183,750,Rött vin,Italien
Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Trocken GG,299,750,Vitt vin,Tyskland
Barolo Broccardo,331,750,Rött vin,Italien
Ernie Els Proprietor's Blend,278,750,Rött vin,Sydafrika
Mistral Bianco,119,750,Vitt vin,Italien
Mosnel Franciacorta Brut Satèn,359,750,Mousserande vin,Italien
Cava Berdié Fetish,153,750,Mousserande vin,Spanien
Jané Ventura Negre Seleccion,115,750,Rött vin,Spanien
Janè Ventura Mas Vilella,208,750,Rött vin,Spanien
Curvos Avesso,99,750,Vitt vin,Portugal
Barthomeus Negre,111,750,Rött vin,Spanien
Jane Ventura Reserva De La Mùsica Cava Rosé,134,750,Mousserande vin,Spanien
L`interrogant,186,750,Rött vin,Spanien
Jané Ventura Vinyes Blanques,111,750,Vitt vin,Spanien
Cava Berdié Rupestre,134,750,Mousserande vin,Spanien
Cava Berdié Amor Brut Reserva,137,750,Mousserande vin,Spanien
Cataldi Madonna Malandrino,215,750,Rött vin,Italien
Cavicchioli Prosecco,95,750,Mousserande vin,Italien
Bibich Sangreal Shiraz,249,750,Rött vin,Kroatien
Topf Gaisberg Grüner Veltliner,289,750,Vitt vin,Österrike
Gancia Prosecco brut,105,750,Mousserande vin,Italien
Jané Ventura Reserva de la Música Brut Nature,134,750,Mousserande vin,Spanien
Augustiner Lagerbier Hell,37.7,500,Öl,Tyskland
Antarctica,36.9,355,Öl,Brasilien
Quinta de Curvos Colheita Selecionada,99,750,Vitt vin,Portugal
Lequilibrio Barbera 'Asti DOCG,208,750,Rött vin,Italien
Le Grand Ballon Sauvignon Blanc,89,750,Vitt vin,Frankrike
Philipp Kuhn «vom Kalkmergel Chardonnay,199,750,Vitt vin,Tyskland
Simon-Selosse Grand Cru Cuvée Prestige Blanc de Blancs,330,750,Mousserande vin,Frankrike
Mazuelo Mitarte,120,750,Rött vin,Spanien
Barda Pinot Noir,199,750,Rött vin,Argentina
Love Cabernet Sauvignon,99,750,Rött vin,Argentina
Twisted Grapefruit IPA,17.9,330,Öl,Storbritannien
Sancerre Rouge les Herses,299,750,Rött vin,Frankrike
l'Atelier Mâcon-Lugny Saint Pierre,181,750,Vitt vin,Frankrike
l'Atelier Mâcon Rouge Saint Pierre,161,750,Rött vin,Frankrike
Jean-Claude Boisset Santenay,279,750,Rött vin,Frankrike
Caiarossa Bianco,329,750,Vitt vin,Italien
Serge Gaudriller Cuvée Prestige Grand Cru Brut,445,750,Mousserande vin,Frankrike
Serge Gaudriller Cuvée Tristan Grand Cru Brut,494,750,Mousserande vin,Frankrike
Lockeby Midvinternatt,107.5,750,Öl,Sverige
Simon Selosse Extra Brut Blanc de Blancs,300,750,Mousserande vin,Frankrike
Antica Cascina dei Conti di Roero Brut,221,750,Mousserande vin,Italien
Special Club Grand Cru,499,750,Mousserande vin,Frankrike
Barons de Rothschild Brut,455,750,Mousserande vin,Frankrike
Moscato d'Asti Rinaldi,99,750,Vitt vin,Italien
Crémant de Die Cuvée Flavien,173,750,Mousserande vin,Frankrike
Patrick Soutiran Blanc de Noir Brut Grand Cru,329,750,Mousserande vin,Frankrike
Manifesto Nero d'Avola,79,750,Rött vin,Italien
Bowmore Small Batch,399,700,Whisky,Storbritannien
La Boheme Act 3 Pinot Gris,149,750,Vitt vin,Australien
La Bohéme Act Four Syrah Gamay,149,750,Rött vin,Australien
Pratello Lugana Cattuliano,129,750,Vitt vin,Italien
Gritul Riserva,193,750,Rött vin,Italien
Guerra Albano Pinot Grigio,171,750,Vitt vin,Italien
Vila Boa Vinho Branco,92,750,Vitt vin,Portugal
Casa de Saima Colheita Branco,118,750,Vitt vin,Portugal
Trajadura Casa de vila boa,108,750,Vitt vin,Portugal
Chambertin Clos de Bèze Grand Cru Faiveley,2099,750,Rött vin,Frankrike
Sankt Nikolaus Riesling Trocken,359,750,Vitt vin,Tyskland
Riesling Quarzit Peter Jakob Kühn,199,750,Vitt vin,Tyskland
Babich Headwaters Pinot Noir,229,750,Rött vin,Nya Zeeland
Harewood Cabernet Sauvignon,179,750,Rött vin,Australien
Trinity Hills Gimblett Gravels Chardonnay,159,750,Vitt vin,Nya Zeeland
Trinity Hills Gimblett gravels Syrah,159,750,Rött vin,Nya Zeeland
Domaine du Grand Mayne Moelleux,169,500,Vitt vin,Frankrike
Terraviva Montepulciano d'Abruzzo,139,750,Rött vin,Italien
Terraviva Trebbiano d'Abruzzo,139,750,Vitt vin,Italien
Hanscraft & Co Backbone Splitter IPA,35.2,330,Öl,Tyskland
Steve Hops Pale Ale,32.4,330,Öl,Tyskland
Vosne Romanée Aux Réas Jean Féry & Fils,655,750,Rött vin,Frankrike
Cantina Tollo Bianco Biologico,75,750,Vitt vin,Italien
Gallimard Pére & Fils Cuvée De Reserve Brut,296,750,Mousserande vin,Frankrike
Gran Maestro Appassimento,79,750,Rött vin,Italien
Dirler-Cadé Brut Nature,198,750,Mousserande vin,Frankrike
Pin:Ox,142,750,Vitt vin,Tyskland
Sandahl Riesling Chicken Year,199,750,Vitt vin,Ungern
Sandahl Riesling Tie Mania Tie Mania,149,750,Vitt vin,Ungern
A Lisa Malbec,175,750,Rött vin,Argentina
Palenga Tinto,100,750,Rött vin,Spanien
Clos la Madeleine Saint Emillion Grand Cru,549,750,Rött vin,Frankrike
Saint-Joseph Corps de Loup,249,750,Rött vin,Frankrike
Bollinger La Côte aux Enfants Pinot Noir,789,750,Rött vin,Frankrike
Gute Pilsner,23.2,330,Öl,Sverige
Brocard Pierre Contrée Noire Extra Brut,419,750,Mousserande vin,Frankrike
Côte Rôtie Les Grandes Places,1137,750,Rött vin,Frankrike
Gute IPA,27.3,330,Öl,Sverige
Sandahl Riesling Banana Split,249,750,Vitt vin,Ungern
Masi Angelorum Recioto,221,375,Rött vin,Italien
Bernard Robert Réserve,199,750,Mousserande vin,Frankrike
Château Certan De May de Certan,999,750,Rött vin,Frankrike
Egérie de Pannier Extra Brut,499,750,Mousserande vin,Frankrike
Don't Tell Gary Shiraz,119,750,Rött vin,Australien
Barolo Giacomo Vico,390,750,Rött vin,Italien
Riva Di Franciacorta Brut Satèn,267,750,Mousserande vin,Italien
Roero Arneis Giacomo Vico,129,750,Vitt vin,Italien
Riva di Franciacorta Brut,236,750,Mousserande vin,Italien
Fratelli Povero Roero Arneis,129,750,Vitt vin,Italien
Fratelli Povero Tumlin,187,750,Rött vin,Italien
Benromach Hermitage,758,700,Whisky,Storbritannien
Figuero Mountain Mosaic Pale Ale,35.9,355,Öl,USA
La Jasse Castel La Pimpanela,133,750,Rött vin,Frankrike
Emrich-Schönleber Halenberg Riesling GG,539,750,Vitt vin,Tyskland
Barone Montalto Bianco Passivento,89,750,Vitt vin,Italien
Curvos Alvarinho,119,750,Vitt vin,Portugal
Emrich-Schönleber Halgans Monzinger Riesling Trocken,330,750,Vitt vin,Tyskland
Zensa Nero d'Avola,89,750,Rött vin,Italien
Sons Of Anarchy Amber Ale,21.9,355,Öl,USA
Glenmorangie The Lasanta 12 years,245,350,Whisky,Storbritannien
Olivia Brut Nature Reserva,199,750,Mousserande vin,Spanien
Domaine de Servans Côtes du Rhone,112,750,Rött vin,Frankrike
Quinta da Cheira Reserva,172,750,Vitt vin,Portugal
Cattier Brut Absolu,377,750,Mousserande vin,Frankrike
