FullName,Price,Volume,Type,Country
Giró i Giró Bombonetta Gran Reserva Brut,230,750,Mousserande vin,Spanien
Rosso di Valtellina,253,750,Rött vin,Italien
Arbe Garbe White,439,750,Vitt vin,USA
Escada Touriga Nacional,89,750,Rött vin,Portugal
Ruppertsberger Riesling Auslese,89,375,Vitt vin,Tyskland
Auchentoshan Selected by Berrys 21 Years,1487,700,Whisky,Storbritannien
Auchroisk Selected by Berrys 18 Years,1449,700,Whisky,Storbritannien
Allt-A-Bhainne Selected by Berrys 18 Years,1448,700,Whisky,Storbritannien
Dailuaine Selected by Berrys 22 Years,1771,700,Whisky,Storbritannien
Strathclyde Single Grain Selected by Berrys 8 Years,856,700,Whisky,Storbritannien
North British Single Grain Selected by Berrys 18 Years,1458,700,Whisky,Storbritannien
958 Santero Cuvèe Extra Dry,89,750,Mousserande vin,Italien
Södra Stout,39.7,330,Öl,Sverige
Barbera del Monferrato Livio Pavese,109,750,Rött vin,Italien
Primus Zitsa,180,750,Vitt vin,Grekland
Red Velvet,170,750,Rött vin,Grekland
Debina,140,750,Mousserande vin,Grekland
Allesverloren 1704,95,750,Rött vin,Sydafrika
MACK by Mackmyra,315,700,Whisky,Sverige
Tingvalla Amarillo,23.9,330,Öl,Sverige
Sheep Dip Islay Blended Malt,480,700,Whisky,Storbritannien
Saint-Aubin Vieilles Vignes Domaine Roux,229,750,Vitt vin,Frankrike
Château La Bourrée,95,750,Rött vin,Frankrike
Saint-Aubin La Princée Domaine Hubert Lamy,299,750,Vitt vin,Frankrike
Los Frailes Blanc de Trilogía,151,750,Vitt vin,Spanien
Korlat Cabernet Sauvignon,222,750,Rött vin,Kroatien
Korlat Syrah,222,750,Rött vin,Kroatien
Ivan Dolac Plavac Mali,237,750,Rött vin,Kroatien
Mediterano Plavac Mali,182,750,Rött vin,Kroatien
Daruvar Grasevina,111,750,Vitt vin,Kroatien
Ivan Dolac Barrique Plavac Mali,249,750,Rött vin,Kroatien
Los Frailes Monastrell,119,750,Rött vin,Spanien
Domaine Saint Gayan Gigondas,209,750,Rött vin,Frankrike
Inchgower Maltbarn Bourbon Cask 24 Years,1782,700,Whisky,Storbritannien
Glen Keith Chapter 7 Bourbon Hogshead 17 Years,1172,700,Whisky,Storbritannien
Glentauchers Chapter 7 Bourbon Barrel 18 Years,1388,700,Whisky,Storbritannien
Glenrothes Chapter 7 Bourbon Hogshead 17 Years,1586,700,Whisky,Storbritannien
Chapter 7 Peatside Port Finish 6 Years,973,700,Whisky,Storbritannien
Braes of Glenlivet Chapter 7 Bourbon Barrel 20 Years,1685,700,Whisky,Storbritannien
Barbaresco Sori Paitin,299,750,Rött vin,Italien
José Pariente Cuvée Especial,289,750,Vitt vin,Spanien
Clos de Vougeot Grand Cru du Clos Frantin Albert Bichot,1095,750,Rött vin,Frankrike
Chateau Ste Michelle Riesling,119,750,Vitt vin,USA
Cigarra Gran Passo Touriga Nacional Cabernet Sauvignon,89,750,Rött vin,Portugal
Sancerre Les Roches Domaine Vacheron,219,750,Vitt vin,Frankrike
Villa Spinosa Amarone della Valpolicella Classico,633,750,Rött vin,Italien
Motörhead Whisky,666,700,Whisky,Sverige
Côtes Du Rhône Villages Terre d'Argile,181,750,Rött vin,Frankrike
La Devèze,151,750,Rött vin,Frankrike
Cerrogallina Bobal,239,750,Rött vin,Spanien
Poggio Scalette Chianti Classico,210,750,Rött vin,Italien
Canua Sforzato Di Valtellina,394,750,Rött vin,Italien
Villa Mathilda Siegerrebe,199,500,Vitt vin,Sverige
Domaine Bott-Geyl Points Cardineaux Métiss,179,750,Vitt vin,Frankrike
Borgogno Barolo Cannubi,729,750,Rött vin,Italien
Jean-Louis Denois Extra Brut Chardonnay,171,750,Mousserande vin,Frankrike
Brimoncourt Extra Brut,497,750,Mousserande vin,Frankrike
Medolago Albani Valcalepio Rosso Cabernet Sauvignon Merlot,131,750,Rött vin,Italien
Pineto Brachetto D'Acqui,180,750,Rött vin,Italien
Frassinelli Valdobbiadene Prosecco Superiore Millesimato,151,750,Mousserande vin,Italien
Pierre Peters L'Esprit Blanc de Blancs,449,750,Mousserande vin,Frankrike
Bombshell Zinfandel,89,750,Rött vin,Italien
Dentelles & Crinolines Extra Brut,349,750,Mousserande vin,Frankrike
Schöfferhofer Hefeweizen,16.9,330,Öl,Tyskland
Castelmare Amarone della Valpolicella Classico,169,750,Rött vin,Italien
Whispering Tree Chardonnay,125,750,Vitt vin,USA
KooLooLoo Cabernet Sauvignon Organic,239,750,Rött vin,USA
KooLooLoo Old Vine Zinfandel Organic,239,750,Rött vin,USA
KooLooLoo Chardonnay Organic,239,750,Vitt vin,USA
Revolution Cabernet Sauvignon,294,750,Rött vin,USA
Rumi Napa Valley Red,365,750,Rött vin,USA
Vinistella Amarone Della Valpolicella Classico,210,750,Rött vin,Italien
Avinyó Blanc de Noirs Cava Brut Nature Reserva,184,750,Mousserande vin,Spanien
Lavender Creek,345,750,Rött vin,USA
Lusthof Pinotage,149,750,Rött vin,Sydafrika
Fuller's Frontier,19.3,330,Öl,Storbritannien
Muratie Ansela van de Caab,199,750,Rött vin,Sydafrika
Domaine de Calet Chardonnay,127,750,Vitt vin,Frankrike
Leirana Albariño,169,750,Vitt vin,Spanien
anCnoc 18 Years,899,700,Whisky,Storbritannien
Abdyika Melnik Tradition Reserve,179,750,Rött vin,Bulgarien
Preuss Wine Collection Cabernet Sauvignon Merlot Melnik,115,750,Rött vin,Bulgarien
Jago Valpolicella Ripasso Classico Superiore,259,750,Rött vin,Italien
Mizzon Giuseppe Amarone della Valpolicella Classico,469,750,Rött vin,Italien
Mizzon Passito Bianco,299,500,Vitt vin,Italien
Mizzon Valpolicella Ripasso Classico Superiore,229,750,Rött vin,Italien
Macho Man Monastrell,210,750,Rött vin,Spanien
Poderi Sanrocco Chardonnay,127,750,Vitt vin,Italien
Sancerre l'Ancienne Vigne,227,750,Vitt vin,Frankrike
Piraat Triple Hop,39.3,330,Öl,Belgien
Cinclus SC,147,750,Vitt vin,Spanien
DG Viticultors Cava Brut Reserva Chardonnay,171,750,Mousserande vin,Spanien
Alexander Vs The Ham Factory Crianza,210,750,Rött vin,Spanien
Criminally Bad Elf,47.2,500,Öl,Storbritannien
Insanely Bad Elf,35.1,330,Öl,Storbritannien
Le Cadran de Fombrauge,279,750,Rött vin,Frankrike
Si Mon Père Savait,179,750,Rött vin,Frankrike
Von Winning Sauvignon Blanc 2 Trocken,159,750,Vitt vin,Tyskland
Spice Route Mourvèdre,179,750,Rött vin,Sydafrika
Spice Route Chakalaka,229,750,Rött vin,Sydafrika
Recioto della Valpolicella Classico Venturini,575,750,Rött vin,Italien
The English Whisky Co Clydesdale Sassicaia Cask,935,700,Whisky,Storbritannien
Venturini Massimino Rosso,298,750,Rött vin,Italien
Barolo Pietrin Franco Conterno,456,750,Rött vin,Italien
Költur That's What She Said Amber Ale,26.9,330,Öl,Sverige
Barolo Villaforte,189,750,Rött vin,Italien
No Name Evölution India Pale Ale,28.5,330,Öl,Sverige
Rådanäs Ekologiska Pilsner,18.9,330,Öl,Sverige
Stallhagen India Pale Ale,31.2,330,Öl,Finland
Helsinge Porter,41.8,500,Öl,Sverige
Prüm Blue Riesling Kabinett Trocken,149,750,Vitt vin,Tyskland
Baigorri Blanco,229,750,Vitt vin,Spanien
Chianti Castelsina Riserva,109,750,Rött vin,Italien
Ferra Soave Classico,149,750,Vitt vin,Italien
Chateau Maucoil Côtes du Rhône Villages Blanc,149,750,Vitt vin,Frankrike
Chateau Maucoil Côtes du Rhône Villages Rouge,149,750,Rött vin,Frankrike
Brewify Red IPA,28.4,330,Öl,Sverige
Bruichladdich Vosne Romanee Cask 9 Years,1438,700,Whisky,Storbritannien
Fettercairn Bourbon Cask 29 Years,2995,700,Whisky,Storbritannien
Lioco Chardonnay,219,750,Vitt vin,USA
Lioco Laguna Pinot Noir,369,750,Rött vin,USA
Lioco Sativa Carignan,289,750,Rött vin,USA
Rosso di Montepulciano,79,750,Rött vin,Italien
Farmers Market Organic,79,750,Rött vin,Italien
Ruffino Chianti Superiore,129,750,Rött vin,Italien
BrewDog Indie Pale Ale,14.9,330,Öl,Storbritannien
Ysta Caribbean India Pale Ale Mango/Chili,31.7,330,Öl,Sverige
Ysta 50/50,25.5,500,Öl,Sverige
Zeunerts Julöl,17.9,500,Öl,Sverige
Rånäs Slott Ricossa Piemonte Barbera,139,750,Rött vin,Italien
Rånäs Slott Ricossa Roero Arneis,129,750,Vitt vin,Italien
Kozel Dark,16.8,500,Öl,Tjeckien
Langhe Arneis Cordero di Montezemolo,219,750,Vitt vin,Italien
Langhe Nebbiolo Cordero di Montezemolo,249,750,Rött vin,Italien
Barolo Monfalletto Cordero di Montezemolo,459,750,Rött vin,Italien
Barolo Cordero di Montezemolo,689,750,Rött vin,Italien
Vigna del Convento,175,750,Rött vin,Italien
Macduff Refill Hogshead 18 Years,1191,700,Whisky,Storbritannien
Glenrothes Marmalade Appeal,1881,700,Whisky,Storbritannien
Oinoz Prestigio,119,750,Rött vin,Spanien
Wemyss Malts Kiln Embers,598,700,Whisky,Storbritannien
Macallan Bourbon Hogshead 19 Years,2869,700,Whisky,Storbritannien
Portal Del Alto Syrah Tardio Late Harvest,147,375,Rött vin,Chile
Portal Del Alto Reserva del Autor Sauvignon Gris,187,750,Vitt vin,Chile
Portal Del Alto Gran Reserva Cabernet Sauvignon,231,750,Rött vin,Chile
Portal Del Alto Gran Reserva Carmenère,231,750,Rött vin,Chile
Portal Del Alto Special Selection,730,750,Rött vin,Chile
Portal Del Alto Gran Reserva Syrah,231,750,Rött vin,Chile
Gewurztraminer Furstentum Vieilles Vignes Grand Cru,322,750,Vitt vin,Frankrike
Portal Del Alto Late Harvest Moscatel Viognier,132,375,Vitt vin,Chile
Portal Del Alto Reserva del Autor Four Reds,187,750,Rött vin,Chile
Portal Del Alto Gran Reserva Chardonnay,231,750,Vitt vin,Chile
Barone Montalto Rosso,66,750,Rött vin,Italien
Barone Montalto Bianco,66,750,Vitt vin,Italien
Wiseguy Shiraz,155,750,Rött vin,Australien
Bin 8888 Cabernet Sauvignon,165,750,Rött vin,Australien
Almarada Malbec,165,750,Rött vin,Argentina
Almarada Chardonnay,165,750,Vitt vin,Argentina
The Collaboration Breakfast Stout Remmarlöv/Malmö Brewing/Love Coffee,34.9,330,Öl,Sverige
La Vermontoise,74,750,Öl,Belgien
Château de Campuget La Sommelière Syrah,159,750,Rött vin,Frankrike
Muros de Melgaço Alvarinho,199,750,Vitt vin,Portugal
Minervois Los Gals Rouge,278,750,Rött vin,Frankrike
Dugges Black Currant,27.6,330,Öl,Sverige
Misal Prestige Extra Brut,249,750,Mousserande vin,Kroatien
Antiche Terre Venete Amarone della Valpolicella Mezzo Monte,269,750,Rött vin,Italien
Guinness West Indies Porter,25.9,500,Öl,Irland
Oldenburg Vineyards Syrah,189,750,Rött vin,Sydafrika
The Foundation Stone,145,750,Vitt vin,Sydafrika
Stoneleigh Brut Cuvée,109,750,Mousserande vin,Nya Zeeland
Domäne Wachau Himmelstiege Riesling Federspiel,179,750,Vitt vin,Österrike
Ti Amo Zinfandel di Puglia Organic,99,750,Rött vin,Italien
Cortes de Cima Tinto,199,750,Rött vin,Portugal
Cortes de Cima Homenagem,350,750,Rött vin,Portugal
Cortes de Cima Incógnito Tinto,650,750,Rött vin,Portugal
Doyard Mahé Carte d'Or Premier Cru Blanc de Blancs Brut,447,750,Mousserande vin,Frankrike
Doyard Mahé Cuvée Désir Blanc de Blancs Extra Brut,497,750,Mousserande vin,Frankrike
Doyard Mahé Millésime Blanc de Blancs Extra Brut,546,750,Mousserande vin,Frankrike
Doyard Mahé Millésime Premier Cru Blanc de Blancs Brut,595,750,Mousserande vin,Frankrike
Brancott Estate Organic Living Land Pinot Gris,99,750,Vitt vin,Nya Zeeland
Ata Rangi Crimson Pinot Noir,151,750,Rött vin,Nya Zeeland
Duval Leroy Brut Réserve,349,750,Mousserande vin,Frankrike
Duval Leroy Femme de Champagne Grand Cru,999,750,Mousserande vin,Frankrike
Rust en Vrede Single Vineyard Syrah,495,750,Rött vin,Sydafrika
Rust en Vrede Vineyard Selection Cabernet Sauvignon,455,750,Rött vin,Sydafrika
Birichino Jurassic Park Vineyard Chenin Blanc,249,750,Vitt vin,USA
Frassinelli Conegliano Valdobbiadene Prosecco Superiore Extra Dry,157,750,Mousserande vin,Italien
Paul Ginglinger Riesling Drei Exa,166,750,Vitt vin,Frankrike
Paul Ginglinger Riesling Grand Cru Pfersigberg,229,750,Vitt vin,Frankrike
Grattamacco Rosso,624,750,Rött vin,Italien
To Øl Garden Of Eden,29.9,330,Öl,Internationellt märke
Sanz Sauvignon,149,750,Vitt vin,Spanien
Sanz La Capital,134,750,Rött vin,Spanien
Sanz Verdejo,140,750,Vitt vin,Spanien
Castelvecchio Cabernet Franc,224,750,Rött vin,Italien
Sanz Clasico,119,750,Vitt vin,Spanien
Côtes du Jura Trousseau,223,750,Rött vin,Frankrike
Chablis Premier Cru Les Butteaux Domaine Eleni et Edouard Vocoret,480,750,Vitt vin,Frankrike
Zlatan Plavac Grand Cru,431,750,Rött vin,Kroatien
Planeta Etna Rosso,179,750,Rött vin,Italien
Planeta Etna Bianco,179,750,Vitt vin,Italien
Sansibar Irish Malt Bourbon Cask,2673,700,Whisky,Irland
Château Haut Condissas Collection Or,1499,750,Rött vin,Frankrike
Glen Spey Bourbon Cask,2404,700,Whisky,Storbritannien
Famiglia Pasqua Passione et Sentimento Romeo et Juliet Rosso,95,750,Rött vin,Italien
Famiglia Pasqua Prosecco Romeo&Juliet Brut,95,750,Mousserande vin,Italien
Famiglia Pasqua Passione et Sentimento Romeo et Juliet Bianco,95,750,Vitt vin,Italien
Côte-Rôtie Les Rochins Domaine Garon,579,750,Rött vin,Frankrike
Dalwhinnie Winters Gold,459,700,Whisky,Storbritannien
Cava Vega Medien Organic Brut,109,750,Mousserande vin,Spanien
Taittinger Comtes de Champagne Brut Blanc de Blancs,1350,750,Mousserande vin,Frankrike
Aurore Chenin blanc,179,750,Vitt vin,Frankrike
Francois Montand,89,750,Mousserande vin,Frankrike
Confidences Côtes-du-Rhône,99,750,Rött vin,Frankrike
The Glenlivet Nàdurra Oloroso,499,700,Whisky,Storbritannien
Pouilly Fumé Domaine de Terre Blanches,229,750,Vitt vin,Frankrike
Sancerre Domaine de Terre Blanches,229,750,Vitt vin,Frankrike
Côtes du Rhône Les Silénes,125,750,Vitt vin,Frankrike
Palmer Blanc de Noirs,349,750,Mousserande vin,Frankrike
Côte-Rôtie Les Serines,546,750,Rött vin,Frankrike
Côtes du Rhône La Borde,125,750,Rött vin,Frankrike
Supernova Malbec,179,750,Rött vin,Frankrike
Côtes-du-Rhône-Villages Le Pré des Suves,159,750,Rött vin,Frankrike
La Cape Le Plan des Moines,205,750,Rött vin,Frankrike
Les Vendangeuses Le Plan des Moines,251,750,Rött vin,Frankrike
Châteauneuf-du-Pape Les Charretons,424,750,Rött vin,Frankrike
Cremant de Bourgogne Baron Aimé,135,750,Mousserande vin,Frankrike
Bourgogne-Hautes-Côtes de Nuits Reine Pédauque,166,750,Rött vin,Frankrike
Mon Acte Mas du Notaire,279,750,Rött vin,Frankrike
Bête Noir Spinifex,279,750,Rött vin,Australien
Côte de Nuits-Villages Reine Pédauque,209,750,Rött vin,Frankrike
Langhe Nebbiolo,235,750,Rött vin,Italien
Barbera d'Alba Zio Nando,309,750,Rött vin,Italien
Sander Weissburgunder Trocken,109,750,Vitt vin,Tyskland
Barolo Leon Riserva,792,750,Rött vin,Italien
Langhe Nascetta Borea,294,750,Vitt vin,Italien
Valentin Fleur Sauvignon,112,750,Vitt vin,Frankrike
Chablis Simonnet-Febvret,169,750,Vitt vin,Frankrike
Gaia Red Blend,139,750,Rött vin,Argentina
Savigny-Les-Beaunes Premier Cru Les Serpentières Reine Pédauque,299,750,Rött vin,Frankrike
Domaene Gobelsburg Zweigelt,139,750,Rött vin,Österrike
Sancerre Paul Prieur Rouge,209,750,Rött vin,Frankrike
Egly-Ouriet Grand Cru Brut Rosé,775,750,Mousserande vin,Frankrike
Egly-Ouriet Grand Cru VP Extra Brut,845,750,Mousserande vin,Frankrike
Barbaresco San Stunet Piero Busso,499,750,Rött vin,Italien
Egly-Ouriet Brut Tradition Grand Cru,589,750,Mousserande vin,Frankrike
Pichler-Krutzler Grüner Veltliner Klostersatz,199,750,Vitt vin,Österrike
Pichler-Krutzler Riesling Loiben,199,750,Vitt vin,Österrike
Chablis Premier Cru Fourchaume l'Eglantière Jean Durup & Fils,226,750,Vitt vin,Frankrike
Chablis l'Eglantière Jean Durup & Fils,171,750,Vitt vin,Frankrike
Liefmans Goudenband,31.9,330,Öl,Belgien
Sixes and Sevens Pale Ale,23.8,330,Öl,Sverige
Liefmans Kriek Brut,29.9,330,Öl,Belgien
Sixes and Sevens Pale Lager,22.8,330,Öl,Sverige
Ballast Point Grapefruit Sculpin India Pale Ale,29.9,355,Öl,USA
L´Orangeraie Syrah Merlot Reserve,120,750,Rött vin,Frankrike
L´Orangeraie Chardonnay,116,750,Vitt vin,Frankrike
Verdling Dulce Verdejo,268,750,Vitt vin,Spanien
Verdling Trocken Verdejo,340,750,Vitt vin,Spanien
Quintaluna Verdejo,185,750,Vitt vin,Spanien
Can Feixes Negre Tradició,200,750,Rött vin,Spanien
Chateau De La Ragotière Selection Vieilles Vignes,109,750,Vitt vin,Frankrike
Giró del Gorner Gran Reserva Brut,200,750,Mousserande vin,Spanien
Giró del Gorner Gran Reserva Brut Nature,200,750,Mousserande vin,Spanien
Rock'n'Roll by Brolle Cava Brut Reserva,177,750,Mousserande vin,Spanien
Barolo Serradenari Giulia Negri,379,750,Rött vin,Italien
Rock'n'Roll by Brolle Blanc,131,750,Vitt vin,Spanien
Menger-Krug Méthode Rurale Brut Chardonnay,299,750,Mousserande vin,Tyskland
Can Feixes Chardonnay,266,750,Vitt vin,Spanien
Can Feixes Blanc Selecció,131,750,Vitt vin,Spanien
Ponzi Tavola Pinot Noir,269,750,Rött vin,USA
Huguet Gran Reserva Brut Nature,200,750,Mousserande vin,Spanien
Valencay Les Batfers,138,750,Vitt vin,Frankrike
Giró del Gorner Reserva Brut,166,750,Mousserande vin,Spanien
Rock'n'Roll by Brolle Cabernet Sauvignon Merlot,174,750,Rött vin,Spanien
Ponzi Pinot Gris,199,750,Vitt vin,USA
Vega Shoreline APA,25.9,330,Öl,Sverige
Amasole Langhe Nebbiolo,149,750,Rött vin,Italien
Vega Gotenius Porter,26.7,330,Öl,Sverige
Amasole Valpolicella Ripasso Superiore,119,750,Rött vin,Italien
Röda Hjorten,29.8,500,Öl,Sverige
BrewDog Jack Hammer,26.9,330,Öl,Storbritannien
Nolhaga Park,31.2,500,Öl,Sverige
Les Primevères Côtes du Rhône Villages,131,750,Vitt vin,Frankrike
Sun Giant Pale Ale,29.9,330,Öl,Sverige
Red October,20.5,330,Öl,Sverige
Dalmore Vintage,459,700,Whisky,Storbritannien
Tomatin Legacy,319,700,Whisky,Storbritannien
Rantens Porter,31.9,330,Öl,Sverige
Dusk til Dawn Chardonnay,109,750,Vitt vin,Australien
Jacob's Creek Reserve Shiraz Cabernet Sauvignon,99,750,Rött vin,Australien
Påverås India Pale Ale,31.5,330,Öl,Sverige
Cosa Dolce Gewürztraminer Riesling,75,750,Vitt vin,Australien
Santa Ana Reserve Malbec,49,750,Rött vin,Argentina
Châteauneuf-du-Pape Domaine Moulin-Tacussel,325,750,Rött vin,Frankrike
Gigondas Domaine de Cabasse,177,750,Rött vin,Frankrike
Finca Piedra Infinita Familia Zuccardi,599,750,Rött vin,Argentina
Schäfer-Fröhlich Felsenberg Riesling Grosses Gewächs,397,750,Vitt vin,Tyskland
Forster Pechstein Riesling Trocken Grosses Gewächs Reichsrat von Buhl,349,750,Vitt vin,Tyskland
Wagner Stempel Höllberg Riesling Grosses Gewächs,299,750,Vitt vin,Tyskland
Gosset Celebris Rosé,1179,750,Mousserande vin,Frankrike
Gosset Petite Douceur Rosé,497,750,Mousserande vin,Frankrike
Côtes du Rhône Cuvée Marguerite,97,750,Rött vin,Frankrike
Domaine de Cabasse Cuvée Garnacho,140,750,Rött vin,Frankrike
Domaine de Cabasse Cuvée Casa Bassa,160,750,Rött vin,Frankrike
Châteauneuf-du-Pape Domaine du Père Caboche,249,750,Rött vin,Frankrike
Côtes du Rhône Domaine du Père Caboche,140,750,Rött vin,Frankrike
L'Oiseau Blanc,200,750,Vitt vin,Frankrike
Helsinge Julöl,33.7,500,Öl,Sverige
Les Tonillières,191,750,Rött vin,Frankrike
Le Petit Duc,234,750,Rött vin,Frankrike
Mortiès,174,750,Rött vin,Frankrike
L'Orphèe Syrah Grenache,191,750,Rött vin,Frankrike
Cornas Pierre Gaillard,329,750,Rött vin,Frankrike
Carlskrona Julöl,25.8,330,Öl,Sverige
Villa Valentina Sangiovese,89,750,Rött vin,Italien
Reviresco Morellino di Scansano,138,750,Rött vin,Italien
Rara Neagra de Purcari,164,750,Rött vin,Moldavien
Domaine du Petit Clocher Anjou Blanc,175,750,Vitt vin,Frankrike
Auramaris Vermentino,126,750,Vitt vin,Italien
Síria Branco,129,750,Vitt vin,Portugal
Convento de Aguiar Reserva Tinto,149,750,Rött vin,Portugal
Samichlaus Classic,49.2,330,Öl,Österrike
Domaine Bousquet Reserve Cabernet Sauvignon,119,750,Rött vin,Argentina
Jädraöl IPA,27.7,330,Öl,Sverige
¿Qué Pasa? Merlot Organico Reserva,49,750,Rött vin,Chile
Baggens IPA,28.9,330,Öl,Sverige
Rosen Boom,23.7,330,Öl,Sverige
S...sprung Cuvée Rotwein,246,750,Rött vin,Tyskland
Weinhof Scheu Weisser Burgunder Trocken,167,750,Vitt vin,Tyskland
Giocoso Domaine l'Oustal Blanc,236,750,Rött vin,Frankrike
Leufsta Pils,22.8,330,Öl,Sverige
Neptun IPA,24.5,330,Öl,Sverige
Leconfield Shiraz,195,750,Rött vin,Australien
Leconfield Cabernet Merlot,195,750,Rött vin,Australien
River Farm Sauvignon Blanc,149,750,Vitt vin,Nya Zeeland
Sea Smoke Southing Pinot Noir,679,750,Rött vin,USA
Royal Oats Imperial Oat Porter,40.1,330,Öl,Sverige
Cies Albarino,196,750,Vitt vin,Spanien
African Dawn Shiraz,89,750,Rött vin,Sydafrika
African Dawn Chenin Blanc,89,750,Vitt vin,Sydafrika
Amadio Shiraz,229,750,Rött vin,Australien
Amadio Cabernet Sauvignon,229,750,Rött vin,Australien
Zeunerts 1857,9.9,330,Öl,Sverige
Château Haut Condissas Prestige,449,750,Rött vin,Frankrike
Mia Pink Moscato,80,750,Mousserande vin,Spanien
Mathelin Extra Brut,378,750,Mousserande vin,Frankrike
Beaumont des Crayères Grand Rosé,270,750,Mousserande vin,Frankrike
Zuccardi Q Malbec,149,750,Rött vin,Argentina
Amarone della Valpolicella Classico,95,375,Rött vin,Italien
Tama Vineyard Selection Pinot Noir,121,750,Rött vin,Chile
Sea Smoke Ten Pinot Noir,899,750,Rött vin,USA
Howard Park Porongurup Riesling,191,750,Vitt vin,Australien
Ossian,356,750,Vitt vin,Spanien
Concentus Rosso,362,750,Rött vin,Italien
Podere Bertarole Valpolicella Ripasso Classico Superiore,281,750,Rött vin,Italien
Rotllan Torra,163,750,Rött vin,Spanien
Marco Zunino Malbec,129,750,Rött vin,Argentina
Marco Zunino Malbec Bonarda,131,750,Rött vin,Argentina
Adobe Sauvignon Blanc,79,750,Vitt vin,Chile
Petit Chablis Vibrant,82,375,Vitt vin,Frankrike
Château Grand Francais Bordeaux Supérieur,149,750,Rött vin,Frankrike
Aquilam Ventus,150,500,Vitt vin,Ungern
Terre di San Zeno Amarone della Valpolicella Classico,487,750,Rött vin,Italien
Vigneti di Osan Amarone della Valpolicella Classico,732,750,Rött vin,Italien
Recioto della Valpolicella Classico Corteforte,400,500,Rött vin,Italien
Château Lauduc Classic,101,750,Rött vin,Frankrike
Templárské Gold Collection Merlot,128,750,Rött vin,Tjeckien
Dimension Chardonnay,79,750,Vitt vin,Sydafrika
Primator Premium,11.9,330,Öl,Tjeckien
Nya Carnegiebryggeriet Primus Lux,69.9,750,Öl,Sverige
Sigtuna Paper Plane Organic Lager,19.9,330,Öl,Sverige
Eco Rojo,79,750,Rött vin,Spanien
Glenfiddich Original,995,700,Whisky,Storbritannien
Girvan Single Grain 25 Years,3265,700,Whisky,Storbritannien
Mikkeller Spontancassis,59.9,375,Öl,Internationellt märke
Glenfiddich Rare Collection 36 Years,25590,700,Whisky,Storbritannien
Roquers de Garnatxa,665,750,Rött vin,Spanien
Mikkeller Beer Geek Auslese,184,375,Vitt vin,Tyskland
Cirrus The Cloudy Lager,13.9,330,Öl,Sverige
Viva by Carolina Gynning Prosecco Extra Dry,131,750,Mousserande vin,Italien
Château Belgrave Grand Cru,239,375,Rött vin,Frankrike
Château Palmer Margaux,3999,750,Rött vin,Frankrike
Vergelegen GVB White,295,750,Vitt vin,Sydafrika
Château La Garde,164,375,Rött vin,Frankrike
Mathelin Brut Reserve,378,750,Mousserande vin,Frankrike
Kininvie Anniversary 25yo Single Cask no 20,4950,350,Whisky,Storbritannien
Can Xa Brut,99,750,Mousserande vin,Spanien
Kavalan Podium,829,700,Whisky,Övriga ursprung
Château Bonnet Divinus,199,750,Rött vin,Frankrike
